name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Russian Biotechnological University (BIOTECH),5103,9.4,9,Russian Federation,59
Moscow Pedagogical State University,16779,18.7,13,Russian Federation,74
University of Monterrey,10814,31.2,1,Mexico,61
Universidad Monteávila,1054,5.7,0,Venezuela,71
Université Mohamed El Bachir El Ibrahimi de Bordj Bou Arréridj,18000,30.9,0,Algeria,100
Modern University for Business and Science,1896,16.9,31,Lebanon,47
"MNS University of Agriculture, Multan",3266,23.5,0,Pakistan,0.970833333
M. Kumarasamy College of Engineering,3772,11.7,0,India,27 
Mahatma Jyotiba Phule Rohilkhand University,3999,20.1,0,India,31 
Misr University for Science and Technology,24742,18.8,6,Egypt,47
University of Misan,11855,15,0,Iraq,51
Mirpur University of Science and Technology,7544,19.8,0,Pakistan,44
MIOTI Tech and Business School,115,38.3,9,Spain,31 
Mindanao State University – Iligan Institute of Technology,9348,18.6,0,Philippines,60
Middle Technical University,37101,26.7,0,Iraq,45
"Michael Okpara University of Agriculture, Umudike",23198,21.7,0,Nigeria,41
Michael and Cecilia Ibru University,405,6.9,0,Nigeria,41
Meikai University,4326,16.1,17,Japan,43
University of Medellín,9371,17.6,2,Colombia,54
Universidad Mayor,20330,11,2,Chile,57
University of Mascara,21682,12,0,Algeria,61
Maritime University of Szczecin,2559,24.7,13,Poland,26 
Marian College Kuttikkanam (Autonomous),1755,17,0,India,52
Management Development Institute (MDI),982,12.8,0,India,0.929861111
Malawi University of Science and Technology (MUST),2356,12.3,0,Malawi,28 
Universidad Loyola,3319,13.3,4,Spain,65
University of Los Lagos,5567,16.6,0,Chile,58
London Metropolitan University,8260,21.5,45,United Kingdom,66
London School of Hygiene and Tropical Medicine,825,1.8,62,United Kingdom,70
London Business School,1995,18.1,91,United Kingdom,38 
Loei Rajabhat University,7433,19.6,0,Thailand,70
The LNM Institute of Information Technology,2136,22.3,0,India,0.765972222
Liverpool School of Tropical Medicine,210,2.2,39,United Kingdom,65
Liverpool Institute for Performing Arts,865,17.3,23,United Kingdom,57
Liverpool Hope University,4025,15.2,13,United Kingdom,67
University of Liberal Arts Bangladesh,4475,20.2,0,Bangladesh,49
Lesya Ukrainka Volyn National University,8039,10.1,1,Ukraine,68
Koya University,4536,9.4,1,Iraq,50
Leeds Trinity University,3230,24.8,9,United Kingdom,65
Leeds Conservatoire,1260,19.4,12,United Kingdom,33 
Leeds Arts University,2065,15.3,12,United Kingdom,76
University of Las Américas (UDLA),12767,13.7,1,Ecuador,54
La Salle University,9869,20.1,1,Colombia,55
Landmark University,3429,13.4,0,Nigeria,34 
University of Lampung,25782,19.9,0,Indonesia,50
Knowledge University,2125,16.6,1,Iraq,47
Lagos State University,28289,37.1,0,Nigeria,50
University of Laghouat,34345,35.2,0,Algeria,51
Kyrgyz-Turkish Manas University,5448,14.5,17,Kyrgyzstan,72
Kyoai Gakuen University,1089,19.4,4,Japan,66
Kyiv National Economic University,10585,9.4,2,Ukraine,61
KTO Karatay University,8370,26.2,3,Turkey,58
Konya Technical University,13016,30.1,4,Turkey,26 
Konan Women’s University,4416,24.7,1,Japan,100
Kokshetau State University,7047,11.3,5,Kazakhstan,65
Kocaeli Health and Technology University,2784,31.6,4,Turkey,66
Kobe Gakuin University,11557,34.3,2,Japan,38 
Kobe City University of Foreign Studies,2287,15.3,4,Japan,67
Kitami Institute of Technology,1965,14.1,4,Japan,0.602083333
University of Kirkuk,22867,24.8,0,Iraq,52
Kings University,132,3.3,0,Nigeria,42
Khyber Medical University,4364,16.5,3,Pakistan,40 
Khwaja Fareed University of Engineering and Information Technology,10713,21.6,0,Pakistan,41
Khulna University,5921,11.8,0,Bangladesh,41
Khomein University of Medical Sciences,782,31.3,0,Iran,48
Khazar University,2610,11.3,7,Azerbaijan,54
Kadir Has University,4896,23.5,3,Turkey,53
Explore,NA,NA,NA,Kharkiv University of Humanities “People’s Ukrainian Academy”,NA
Ukraine,NA,NA,NA,Kermanshah University of Technology,NA
Iran,NA,NA,NA,University of Kerbala,NA
Iraq,NA,NA,NA,University of Kelaniya,NA
Sri Lanka,NA,NA,NA,Kazan State Power Engineering University,NA
Russian Federation,NA,NA,NA,Kazakh National Pedagogical University Abai,NA
Kazakhstan,NA,NA,NA,Kastamonu University,NA
Turkey,NA,NA,NA,Karshi State University,NA
Uzbekistan,NA,NA,NA,Karaganda University of Kazpotrebsoyuz,NA
Kazakhstan,NA,NA,NA,Kampala International University,NA
