name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Pirogov Russian National Research Medical University,9607,5.9,5,Russian Federation,74
Persian Gulf University,5070,21.3,3,Iran,55
Universitas Pendidikan Indonesia,32320,20.1,1,Indonesia,64
University of Pau and Pays de l’Adour,14186,14.5,14,France,52
Paris Nanterre University,34972,37.4,17,France,63
University of Pannonia,5351,17.3,6,Hungary,49
University of Ostrava,8492,16.4,11,Czech Republic,69
Osmania University,10814,23.7,3,India,32 
Osaka Metropolitan University,15827,11.5,5,Japan,37 
Oran 1 University,25775,19.2,1,Algeria,66
Opole University of Technology,5604,14.5,7,Poland,33 
Oles Honchar Dnipro National University,9522,12.1,1,Ukraine,60
Obafemi Awolowo University,29939,23.3,0,Nigeria,41
"University of the North, Colombia",13991,19,1,Colombia,51
North China Electric Power University,37861,19.1,3,China,36 
University of North Carolina Wilmington,15940,19.1,2,United States,64
Slovak University of Agriculture in Nitra,4870,11.3,3,Slovakia,52
University of Nigeria Nsukka,43108,11.4,1,Nigeria,46
Nicolaus Copernicus University in Toru?,19684,13,4,Poland,67
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,21170,8,3,Ukraine,30 
National Technical University Kharkiv Polytechnic Institute,11413,7.9,13,Ukraine,32 
National University of San Martín,16276,16.1,5,Argentina,60
National Research Saratov State University,9826,9.3,11,Russian Federation,58
National Research University of Electronic Technology (MIET),4736,9.3,7,Russian Federation,28 
National Dong Hwa University,10008,17.8,8,Taiwan,52
Explore,NA,NA,NA,National University of Distance Education (UNED),NA
Spain,NA,NA,NA,National Chung Hsing University,NA
Taiwan,NA,NA,NA,National Chung Cheng University,NA
Taiwan,NA,NA,NA,Explore,NA
National Chin-Yi University of Technology,7294,23.2,5,Taiwan,30 
National Chengchi University,12489,14.8,13,Taiwan,57
Nagoya City University,4514,7.5,4,Japan,48
Nagasaki University,8869,6.7,6,Japan,39 
Nagaoka University of Technology,2189,11.1,12,Japan,0.479166667
University of Mysore,7970,21.4,10,India,42
University of Mumbai,13330,23.5,1,India,51
Multimedia University,7116,10.6,11,Malaysia,51
Moscow State University of Civil Engineering,11918,12.7,8,Russian Federation,n/a
Moscow Aviation Institute,15493,12.8,12,Russian Federation,28 
University of Monastir,19203,9.6,2,Tunisia,70
Mohammed V University of Rabat,88644,43.3,3,Morocco,52
Ming Chi University of Technology,4514,19.5,2,Taiwan,26 
Mie University,7125,8.4,4,Japan,38 
Metropolitan Autonomous University,59709,21.1,1,Mexico,50
Mendel University in Brno,8886,16.5,20,Czech Republic,57
Marmara University,62414,30.6,6,Turkey,51
University of Maribor,12403,14.3,10,Slovenia,53
Universiti Malaysia Sarawak (UNIMAS),13956,17.9,7,Malaysia,73
Explore,NA,NA,NA,Universiti Malaysia Kelantan,NA
Malaysia,NA,NA,NA,University of Malaga,NA
Spain,NA,NA,NA,"Lumière University, Lyon 2",NA
France,NA,NA,NA,University of Lucknow,NA
India,NA,NA,NA,Londrina State University,NA
Brazil,NA,NA,NA,Lobachevsky State University of Nizhni Novgorod,NA
Russian Federation,NA,NA,NA,L.N. Gumilyov Eurasian National University,NA
Kazakhstan,NA,NA,NA,University of Lethbridge,NA
Canada,NA,NA,NA,Lahore College for Women University (LCWU),NA
Pakistan,NA,NA,NA,Kyushu Institute of Technology (Kyutech),NA
Japan,NA,NA,NA,Universiti Kuala Lumpur,NA
Malaysia,NA,NA,NA,Kochi University of Technology,NA
Japan,NA,NA,NA,Kitasato University,NA
Japan,NA,NA,NA,King Mongkut's University of Technology North Bangkok,NA
Thailand,NA,NA,NA,Khulna University of Engineering and Technology (KUET),NA
Bangladesh,NA,NA,NA,Khon Kaen University,NA
Thailand,NA,NA,NA,Kharazmi University,NA
Iran,NA,NA,NA,Kazan State Medical University,NA
Russian Federation,NA,NA,NA,Kazan National Research Technological University,NA
Russian Federation,NA,NA,NA,Kazan National Research Technical University,NA
Russian Federation,NA,NA,NA,Kaunas University of Technology,NA
Lithuania,NA,NA,NA,Karabük University,NA
Turkey,NA,NA,NA,Kangwon National University,NA
South Korea,NA,NA,NA,Explore,NA
Kanazawa Medical University,1090,2.2,2,Japan,54
Kagawa University,6369,9.9,2,Japan,42
Jianghan University,19522,15.5,2,China,55
Jeju National University,11741,17.6,4,South Korea,52
Explore,NA,NA,NA,Jawaharlal Nehru Technological University Anantapur (JNTUA),NA
India,NA,NA,NA,Ivan Franko National University of Lviv,NA
Ukraine,NA,NA,NA,Istanbul Medipol University,NA
Turkey,NA,NA,NA,Explore,NA
University of Isfahan,16756,24.7,4,Iran,61
Irkutsk National Research Technical University,9710,10.8,10,Russian Federation,38 
IPB University,23580,6.7,3,Indonesia,58
International Hellenic University,45009,49,1,Greece,54
Indian Institute of Science Education and Research Bhopal,1724,14.1,0,India,32 
Incheon National University,13210,17.3,3,South Korea,n/a
Immanuel Kant Baltic Federal University,7041,16.2,15,Russian Federation,62
University of Ilorin,40901,34.8,1,Nigeria,48
Hungarian University of Agriculture and Life Sciences,10474,10.5,14,Hungary,53
University of Hradec Králové,6390,12.3,3,Czech Republic,65
Hosei University,30300,39.2,4,Japan,38 
Helwan University,127379,19.3,2,Egypt,53
Université Polytechnique Hauts-de-France,13633,21.2,13,France,46
Université Hassan II de Casablanca,124623,36,2,Morocco,52
The Hashemite University,16647,27.9,7,Jordan,61
Explore,NA,NA,NA,Hasanuddin University,NA
Indonesia,NA,NA,NA,Harbin Engineering University,NA
China,NA,NA,NA,Hallym University,NA
South Korea,NA,NA,NA,Gyeongsang National University,NA
South Korea,NA,NA,NA,Explore,NA
Gunma University,6300,7.7,5,Japan,38 
Grand Valley State University,20972,15.3,1,United States,61
Government College University Lahore,11276,19.4,0,Pakistan,42
Gifu University,7216,7.5,5,Japan,38 
German University in Cairo,11937,14.9,1,Egypt,44
Georgia Southern University,22885,18.8,3,United States,59
Gebze Technical University,8403,22.7,2,Turkey,43
Gda?sk University of Technology,14816,19.9,5,Poland,38 
University of Gda?sk,19970,23.9,2,Poland,67
Gazi University,41358,20.6,3,Turkey,50
Universitas Gadjah Mada,38089,8.1,4,Indonesia,55
Université de Gabès,13152,12.8,1,Tunisia,75
Fujian Normal University,31697,14.2,2,China,n/a
University of La Frontera,11053,22,1,Chile,50
University of Fort Hare,13626,38.4,2,South Africa,57
Federico Santa María Technical University,22405,30,3,Chile,26 
Federal University of Viçosa,16436,13.3,2,Brazil,55
Federal University of Uberlândia,25748,13.6,1,Brazil,52
Federal University of São Carlos,20314,15.4,1,Brazil,50
Federal University of Santa Maria,27242,13.7,1,Brazil,53
Federal University of Rio Grande do Norte (UFRN),37879,14.7,0,Brazil,40 
Universidade Federal do Paraná (UFPR),33621,13.4,0,Brazil,63
Federal University of Lavras,14637,18.4,1,Brazil,52
Federal University of Goiás,25511,13.7,1,Brazil,50
Federal University of Espírito Santo,23475,13.4,1,Brazil,54
Universidade Federal da Bahia,45692,17.4,0,Brazil,51
Universidade Federal do ABC (UFABC),16706,22.2,1,Brazil,35 
Far Eastern Federal University,15585,12.3,21,Russian Federation,n/a
Universidade do Estado do Rio de Janeiro (UERJ),22458,9.1,0,Brazil,56
Escuela Superior Politécnica del Litoral,11549,12.8,1,Ecuador,38 
Erciyes University,50212,36.2,4,Turkey,47
The University of Electro-Communications,4662,15.4,6,Japan,0.561111111
El Bosque University,12721,6.6,0,Colombia,65
Ehime University,9204,13.3,2,Japan,38 
Ege University,33062,18.5,4,Turkey,57
Dokuz Eylül University,56233,17.6,3,Turkey,47
Democritus University of Thrace,22230,37,4,Greece,56
Del Rosario University,11751,13.2,2,Colombia,59
De La Salle University,12941,14.9,3,Philippines,50
Explore,NA,NA,NA,Damghan University,NA
Iran,NA,NA,NA,Czech Technical University in Prague,NA
Czech Republic,NA,NA,NA,Corvinus University of Budapest,NA
Hungary,NA,NA,NA,University of Concepción,NA
Chile,NA,NA,NA,University of Colorado Colorado Springs,NA
United States,NA,NA,NA,Cochin University of Science and Technology,NA
India,NA,NA,NA,Chung Yuan Christian University,NA
Taiwan,NA,NA,NA,Chungnam National University,NA
South Korea,NA,NA,NA,Chungbuk National University,NA
South Korea,NA,NA,NA,Explore,NA
Chosun University,21073,27.3,3,South Korea,48
University of Chester,10435,18,15,United Kingdom,68
"University of Chemistry and Technology, Prague",4006,8,22,Czech Republic,58
Chang Gung University of Science and Technology,6326,26.5,1,Taiwan,90
Catholic University of the North,11343,20.4,3,Chile,47
The Catholic University of Korea,9782,7.1,4,South Korea,60
Explore,NA,NA,NA,University of Carthage,NA
Tunisia,NA,NA,NA,Canterbury Christ Church University,NA
United Kingdom,NA,NA,NA,University of Cadiz,NA
Spain,NA,NA,NA,Budapest University of Technology and Economics,NA
Hungary,NA,NA,NA,University of Bucharest,NA
Romania,NA,NA,NA,Bu-Ali Sina University,NA
Iran,NA,NA,NA,Brno University of Technology,NA
Czech Republic,NA,NA,NA,The British University in Egypt,NA
Egypt,NA,NA,NA,University of Brasília,NA
Brazil,NA,NA,NA,Bozok University,NA
Turkey,NA,NA,NA,BINUS University,NA
Indonesia,NA,NA,NA,Bezmiâlem Vakif University,NA
Turkey,NA,NA,NA,University of Benin,NA
Nigeria,NA,NA,NA,Bangladesh University of Engineering and Technology,NA
Bangladesh,NA,NA,NA,Bangladesh Agricultural University (BAU),NA
Bangladesh,NA,NA,NA,Bandung Institute of Technology (ITB),NA
Indonesia,NA,NA,NA,Banasthali University,NA
India,NA,NA,NA,Austral University of Chile,NA
Chile,NA,NA,NA,Atatürk University,NA
Turkey,NA,NA,NA,Ariel University,NA
Israel,NA,NA,NA,Arak University,NA
Iran,NA,NA,NA,"Arab Academy for Science, Technology and Maritime Transport",NA
Egypt,NA,NA,NA,University of Antioquia,NA
Colombia,NA,NA,NA,Ankara University,NA
Turkey,NA,NA,NA,Universidad Andrés Bello (UNAB),NA
Chile,NA,NA,NA,Andhra University,NA
India,NA,NA,NA,"University of the Andes, Chile",NA
Chile,NA,NA,NA,Anadolu University,NA
Turkey,NA,NA,NA,Altai State University,NA
Russian Federation,NA,NA,NA,University of Alicante,NA
Spain,NA,NA,NA,Akdeniz University,NA
Turkey,NA,NA,NA,Universitas Airlangga,NA
Indonesia,NA,NA,NA,Explore,NA
Aichi Medical University,1323,2.9,1,Japan,57
AGH University of Science and Technology,20240,12.7,3,Poland,35 
Adolfo Ibáñez University,10573,25.7,5,Chile,38 
Ac?badem University,2784,6.1,3,Turkey,74
Acharya Nagarjuna University,4872,7.9,7,India,38 
Abdelmalek Essaâdi University,112677,88.2,1,Morocco,50
Université 8 Mai 1945 Guelma,17530,20.1,1,Algeria,67
University of Zimbabwe,20598,23.9,0,Zimbabwe,51
University of Žilina,7545,13.4,3,Slovakia,35 
Zhejiang University of Technology,32095,14.5,6,China,n/a
Zhejiang Gongshang University,22676,15.8,5,China,61
University of Zaragoza,28085,10.1,8,Spain,54
Y?ld?z Technical University,25532,26,11,Turkey,48
Explore,NA,NA,NA,Yasouj University,NA
Iran,NA,NA,NA,Yarmouk University,NA
Jordan,NA,NA,NA,Xidian University,NA
China,NA,NA,NA,Wuhan University of Technology,NA
China,NA,NA,NA,University of Westminster,NA
United Kingdom,NA,NA,NA,Waseda University,NA
Japan,NA,NA,NA,University of Vigo,NA
Spain,NA,NA,NA,"Vietnam National University, Hanoi",NA
Vietnam,NA,NA,NA,"University of Veterinary and Animal Sciences, Lahore",NA
Pakistan,NA,NA,NA,Urmia University,NA
Iran,NA,NA,NA,Ufa State Petroleum Technological University,NA
Russian Federation,NA,NA,NA,Universiti Tunku Abdul Rahman (UTAR),NA
Malaysia,NA,NA,NA,University of Trás-os-Montes and Alto Douro,NA
Portugal,NA,NA,NA,Toyota Technological Institute,NA
Japan,NA,NA,NA,Tomsk Polytechnic University,NA
Russian Federation,NA,NA,NA,Tokyo Metropolitan University,NA
Japan,NA,NA,NA,Explore,NA
Tokyo Medical University,1370,1.7,1,Japan,45
University of Texas Rio Grande Valley,29420,23.5,3,United States,60
Teesside University,13135,19.3,20,United Kingdom,57
Technological University Dublin,20686,18.7,21,Ireland,44
Technical University of Madrid,38976,15.6,16,Spain,32 
Technical University of Crete,6597,31.6,4,Greece,37 
Tallinn University,4178,9.6,16,Estonia,71
University of Szeged,20023,12.5,22,Hungary,55
SWPS University of Social Sciences and Humanities,14522,37.6,8,Poland,78
University of Sunderland,12050,15.9,40,United Kingdom,60
St Marianna University School of Medicine,833,0.9,1,Japan,39 
Not accredited,NA,NA,NA,?tefan cel Mare University of Suceava,NA
Romania,NA,NA,NA,University of Split,NA
Croatia,NA,NA,NA,University of South Wales,NA
United Kingdom,NA,NA,NA,South Valley University,NA
Egypt,NA,NA,NA,University of the South Pacific,NA
Fiji,NA,NA,NA,University of South Dakota,NA
United States,NA,NA,NA,University of South Africa,NA
South Africa,NA,NA,NA,Sohag University,NA
Egypt,NA,NA,NA,Sogang University,NA
South Korea,NA,NA,NA,University of Social Welfare and Rehabilitation Sciences,NA
Iran,NA,NA,NA,Siksha ‘O’ Anusandhan,NA
India,NA,NA,NA,Explore,NA
Sidi Mohamed Ben Abdellah University,90045,53.3,2,Morocco,48
Shanghai Maritime University,23263,16.7,2,China,46
Shahrood University of Technology,8221,21.1,1,Iran,44
Shahrekord University,7268,21.1,0,Iran,56
Shahid Beheshti University of Medical Sciences,12850,8.7,3,Iran,58
University of Seville,49155,16.7,12,Spain,58
Semnan University of Medical Sciences and Health Services,3536,8.3,7,Iran,64
University of Sargodha,23740,31,0,Pakistan,53
Universidad San Francisco de Quito,10338,13.6,5,Ecuador,49
Sakarya University,40331,25.1,8,Turkey,54
Explore,NA,NA,NA,Sahand University of Technology,NA
Iran,NA,NA,NA,Rowan University,NA
United States,NA,NA,NA,Rochester Institute of Technology,NA
United States,NA,NA,NA,Robert Gordon University,NA
United Kingdom,NA,NA,NA,Rikkyo University,NA
Japan,NA,NA,NA,University Rey Juan Carlos,NA
Spain,NA,NA,NA,Reichman University,NA
Israel,NA,NA,NA,Pusan National University,NA
South Korea,NA,NA,NA,Explore,NA
University of Puerto Rico,47257,17,1,Puerto Rico,61
Public University of Navarre,7806,11.2,8,Spain,51
Port Said University,29534,29.8,0,Egypt,49
Portland State University,18067,19.3,6,United States,58
Pondicherry University,7291,22.6,1,India,47
Polytechnic Institute of Porto,18743,16.9,7,Portugal,48
PMAS Arid Agriculture University Rawalpindi,11456,44.8,0,Pakistan,37 
University of Pécs,17711,12.6,23,Hungary,57
Pavol Jozef Šafárik University in Košice,6867,10,23,Slovakia,67
University of Patras,29393,25.6,6,Greece,51
Palacký University Olomouc,18673,14.5,13,Czech Republic,69
University of Oviedo,18599,11.6,2,Spain,53
Okayama University,13012,10.4,10,Japan,40 
Óbuda University,11804,38.4,6,Hungary,0.929861111
Oakland University,15413,17.8,4,United States,58
Northwest University,26073,14,1,China,53
Niigata University,12037,7.6,3,Japan,38 
Explore,NA,NA,NA,Necmettin Erbakan University,NA
Turkey,NA,NA,NA,National Institute of Technology Rourkela,NA
India,NA,NA,NA,National Taiwan Ocean University,NA
Taiwan,NA,NA,NA,National Taipei University of Technology,NA
Taiwan,NA,NA,NA,Explore,NA
National University of Colombia,42188,15.8,1,Colombia,39 
National Central University,10853,9.7,9,Taiwan,36 
National Autonomous University of Mexico,172729,17.4,4,Mexico,52
Nanjing Medical University,20660,8.6,4,China,n/a
Nanjing University of Aeronautics and Astronautics,32300,15.6,3,China,30 
University of Murcia,26351,16,8,Spain,59
Morgan State University,6129,11.7,8,United States,59
Miguel Hernández University of Elche,12276,17,7,Spain,48
Menoufia University,100182,34.3,0,Egypt,43
Medical University of Bialystok,5494,12.7,8,Poland,76
University of Mazandaran,13320,33.1,6,Iran,62
University of Mauritius,8710,21.5,1,Mauritius,55
University of Marrakech Cadi Ayyad,110826,44.8,1,Morocco,50
University of Maragheh,3146,19.9,0,Iran,56
University of Manouba,16315,12.1,1,Tunisia,59
Universiti Malaysia Perlis,10937,13.6,5,Malaysia,45
Lusophone University of Humanities and Technologies,7544,10.7,22,Portugal,53
Lorestan University,9059,23.6,1,Iran,57
University of León,14828,15.3,5,Spain,56
University of Leoben,2604,4.6,17,Austria,24 
Lebanese University,46256,14.8,16,Lebanon,70
University of Las Palmas de Gran Canaria,15612,16.9,8,Spain,58
Kyoto Prefectural University of Medicine,1371,3.4,1,Japan,46
Kwame Nkrumah University of Science and Technology,87443,78.1,1,Ghana,43
Kumamoto University,9536,10,6,Japan,38 
K.N. Toosi University of Technology,8403,26.6,2,Iran,34 
Kharkiv National University of Radio Electronics,7704,9.9,10,Ukraine,26 
Kaohsiung Medical University,6490,11.8,6,Taiwan,59
Kanazawa University,9886,9.4,7,Japan,39 
The Jikei University School of Medicine,1093,0.9,0,Japan,44
Jiangxi University of Finance and Economics,24395,18.5,2,China,55
Jiangsu Normal University,23978,14.3,2,China,n/a
Jiangnan University,29614,13.1,1,China,n/a
Jeonbuk National University,20453,19.9,7,South Korea,46
Explore,NA,NA,NA,University of Jeddah,NA
Saudi Arabia,NA,NA,NA,Jaume I University,NA
Spain,NA,NA,NA,Jadavpur University,NA
India,NA,NA,NA,Istanbul University-Cerrahpa?a,NA
Turkey,NA,NA,NA,Istanbul University,NA
Turkey,NA,NA,NA,Isfahan University of Technology,NA
Iran,NA,NA,NA,Isfahan University of Medical Sciences,NA
Iran,NA,NA,NA,Inha University,NA
South Korea,NA,NA,NA,University of Indonesia,NA
Indonesia,NA,NA,NA,Explore,NA
Indian Institute of Technology Mandi,1587,11.6,1,India,26 
Indian Institute of Technology (Indian School of Mines) Dhanbad,7002,20.7,1,India,0.725
Indian Institute of Technology Guwahati,6353,13.8,1,India,0.970833333
Indian Institute of Technology Bhubaneswar,2102,14.7,0,India,0.725
Indian Institute of Science Education and Research Kolkata,1563,12.3,0,India,28 
"Indian Institute of Science Education and Research, Pune",1512,10.4,0,India,31 
IMT Nord Europe,1484,16.1,21,France,1.011805556
Ilmenau University of Technology,5425,17.4,30,Germany,28 
Ilia State University,16196,10.2,3,Georgia,63
Ibn Tofaïl University,51802,71.9,3,Morocco,49
Hyogo College of Medicine,937,2.2,0,Japan,30 
Huaqiao University,31351,17.2,18,China,53
Hamamatsu University School of Medicine,1204,4.6,2,Japan,49
Hakim Sabzevari University,7940,19.8,4,Iran,53
Guru Jambheshwar University of Science and Technology,6420,19.3,0,India,44
University of Gujrat,11975,23.5,0,Pakistan,58
Guangxi University,39172,19.8,2,China,46
University of Ghana,54256,32.4,1,Ghana,48
Fujian Agriculture and Forestry University,29188,16.9,1,China,54
Fu Jen Catholic University,18619,29,5,Taiwan,58
University of Fortaleza (UNIFOR),21115,18.5,0,Brazil,51
Florida Institute of Technology,5091,14.9,25,United States,35 
Ferdowsi University of Mashhad,25269,30.9,9,Iran,54
Federal University of Technology Akure,19593,21.1,0,Nigeria,28 
Universidade Federal de Santa Catarina,38751,16.1,2,Brazil,49
Federal University of Rio de Janeiro,45747,11.4,1,Brazil,55
University of Extremadura,20509,11.2,2,Spain,56
European University of Madrid,10684,10.7,32,Spain,49
Universidade Estadual Paulista (Unesp),42008,15.6,3,Brazil,51
University of Engineering & Technology (UET) Lahore,13163,13.9,3,Pakistan,1.011805556
École Centrale de Lyon,2108,14.3,26,France,24 
University of East London,12180,21.9,44,United Kingdom,58
East China University of Science and Technology,28718,16.9,2,China,44
Dr B.R. Ambedkar National Institute of Technology Jalandhar,5016,23.7,0,India,1.011805556
Don State Technical University,26241,12.8,12,Russian Federation,n/a
University of Delhi,27471,25.6,1,India,48
University of Debrecen,29045,17.7,22,Hungary,55
Explore,NA,NA,NA,Czech University of Life Sciences Prague (CZU),NA
Czech Republic,NA,NA,NA,Creighton University,NA
United States,NA,NA,NA,Comenius University in Bratislava,NA
Slovakia,NA,NA,NA,Clarkson University,NA
United States,NA,NA,NA,Chonnam National University,NA
South Korea,NA,NA,NA,Explore,NA
China Pharmaceutical University,24270,22.4,2,China,69
"China University of Geosciences, Beijing",16758,16.6,1,China,41
University of Chile,37286,15.5,5,Chile,50
Chiba University,13640,8.5,5,Japan,38 
Chiang Mai University,34110,14,3,Thailand,66
Charles Sturt University,22735,20.2,20,Australia,61
Chang Gung University,7016,12.1,5,Taiwan,49
Explore,NA,NA,NA,University of Central Lancashire,NA
United Kingdom,NA,NA,NA,Universidad Católica San Antonio de Murcia (UCAM),NA
Spain,NA,NA,NA,University of Castilla-La Mancha,NA
Spain,NA,NA,NA,Technical University of Cartagena,NA
Spain,NA,NA,NA,Carlos III University of Madrid,NA
Spain,NA,NA,NA,Explore,NA
Cardiff Metropolitan University,9380,18.6,22,United Kingdom,54
University of Calcutta,19119,15.6,0,India,51
Explore,NA,NA,NA,University of Burgos,NA
Spain,NA,NA,NA,Instituto Politécnico de Bragança,NA
Portugal,NA,NA,NA,Bowling Green State University,NA
United States,NA,NA,NA,University of Botswana,NA
Botswana,NA,NA,NA,Beijing Jiaotong University,NA
China,NA,NA,NA,Bayero University,NA
Nigeria,NA,NA,NA,Bahauddin Zakariya University,NA
Pakistan,NA,NA,NA,Babe?-Bolyai University,NA
Romania,NA,NA,NA,Autonomous University of Sinaloa,NA
Mexico,NA,NA,NA,At?l?m University,NA
Turkey,NA,NA,NA,Explore,NA
Assiut University,84941,14.9,1,Egypt,55
Arts et Métiers,6230,16.5,14,France,0.806944444
"University of the Andes, Colombia",15312,12.7,1,Colombia,45
University of Anbar,26521,15.9,0,Iraq,56
Amity University,31383,16.2,6,India,52
University of Almería,13050,17.5,12,Spain,55
University of Algarve,8443,14,22,Portugal,58
Al-Farabi Kazakh National University,24229,5.7,15,Kazakhstan,56
Ain Shams University,138700,12.5,4,Egypt,53
"Adam Mickiewicz University, Pozna?",35901,23.9,4,Poland,68
University of A Coruña,14937,12.2,5,Spain,52
Zhejiang University of Finance and Economics,17260,21.3,3,China,63
Zewail City of Science and Technology,1184,11.6,0,Egypt,42
Zagazig University,165556,26.4,2,Egypt,52
Yeungnam University,19345,15,4,South Korea,50
Yangzhou University,31066,13.3,11,China,58
University of Wyoming,10660,14.7,5,United States,51
Worcester Polytechnic Institute,5949,12.7,19,United States,38 
University of Wisconsin-Milwaukee,19218,19.3,5,United States,56
University of Winchester,7290,16.8,10,United Kingdom,66
Wenzhou Medical University,19243,11.2,5,China,63
University of Warsaw,37090,12,10,Poland,63
VIT University,33416,17,4,India,30 
Vilnius University,17012,10.2,9,Lithuania,69
University of Urbino Carlo Bo,15336,42.1,6,Italy,62
Tribhuvan University,460632,30.9,0,Nepal,50
Toronto Metropolitan University,36218,42.4,8,Canada,56
Explore,NA,NA,NA,University of Thessaly,NA
Greece,NA,NA,NA,Texas Tech University,NA
United States,NA,NA,NA,University of Texas at El Paso,NA
United States,NA,NA,NA,Universiti Tenaga Nasional (UNITEN),NA
Malaysia,NA,NA,NA,"University of Technology, Iraq",NA
Iraq,NA,NA,NA,Tanta University,NA
Egypt,NA,NA,NA,Taibah University,NA
Saudi Arabia,NA,NA,NA,Symbiosis International University,NA
India,NA,NA,NA,Explore,NA
Sunway University,4638,8.6,15,Malaysia,53
Suez Canal University,38962,11.4,1,Egypt,58
South Ural State University,19373,14.4,10,Russian Federation,39 
Southern Illinois University Carbondale,10130,13.8,7,United States,50
South China Normal University,30041,16.4,3,China,n/a
University of South Bohemia in ?eské Bud?jovice,8763,13.8,7,Czech Republic,69
University of Siegen,12633,26.4,12,Germany,56
Shiraz University of Medical Sciences,10228,10.4,3,Iran,57
Shiraz University,14552,20.2,1,Iran,53
Sheffield Hallam University,25650,17.2,13,United Kingdom,55
Shantou University,14119,12.2,1,China,45
Shahid Beheshti University,19695,23.4,1,Iran,50
University of La Serena,7643,25.5,1,Chile,52
Sechenov University,16366,8.1,24,Russian Federation,70
University of Science and Technology Beijing,28432,16.1,4,China,36 
University of Salford,18220,18.7,20,United Kingdom,55
University of Salento,13608,22.6,1,Italy,62
University of Salamanca,27920,16.9,18,Spain,62
Saint Petersburg State University,24335,9.1,19,Russian Federation,61
Roskilde University,6100,15.8,16,Denmark,64
University of Rome III,33264,47.7,5,Italy,61
University of Roehampton,7780,16.2,33,United Kingdom,69
Rhodes University,6872,17,14,South Africa,63
University of Rhode Island,15851,14.5,3,United States,57
University of Rennes 1,28275,18.5,11,France,52
University of the Punjab,28384,22.4,1,Pakistan,52
Princess Nourah bint Abdulrahman University,25955,13.1,15,Saudi Arabia,100
University of Pretoria,36492,21.7,7,South Africa,59
Explore,NA,NA,NA,Pontifical Javeriana University,NA
Colombia,NA,NA,NA,Pontifical Catholic University of Rio Grande do Sul (PUCRS),NA
Brazil,NA,NA,NA,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),NA
Brazil,NA,NA,NA,Polytechnic University of Valencia,NA
Spain,NA,NA,NA,Universitat Politècnica de Catalunya,NA
Spain,NA,NA,NA,University of the Philippines,NA
Philippines,NA,NA,NA,University of Peshawar,NA
Pakistan,NA,NA,NA,Universiti Pendidikan Sultan Idris,NA
Malaysia,NA,NA,NA,Parthenope University of Naples,NA
Italy,NA,NA,NA,Panthéon-Sorbonne University – Paris 1,NA
France,NA,NA,NA,Panjab University,NA
India,NA,NA,NA,University of Palermo,NA
Italy,NA,NA,NA,Pablo de Olavide University,NA
Spain,NA,NA,NA,Ozyegin University,NA
Turkey,NA,NA,NA,Old Dominion University,NA
United States,NA,NA,NA,Ohio University (Main campus),NA
United States,NA,NA,NA,Novosibirsk State University,NA
Russian Federation,NA,NA,NA,Northern Illinois University,NA
United States,NA,NA,NA,University of Northern British Columbia (UNBC),NA
Canada,NA,NA,NA,Northeast Normal University,NA
China,NA,NA,NA,"Northeastern University, China",NA
China,NA,NA,NA,University of North Carolina at Greensboro,NA
United States,NA,NA,NA,Nippon Medical School,NA
Japan,NA,NA,NA,New Mexico State University (Main campus),NA
United States,NA,NA,NA,The New School,NA
United States,NA,NA,NA,"National Institute of Technology, Tiruchirappalli",NA
India,NA,NA,NA,National Institute of Technology Hamirpur,NA
India,NA,NA,NA,National Technical University of Athens,NA
Greece,NA,NA,NA,National Taiwan Normal University,NA
Taiwan,NA,NA,NA,Explore,NA
National Sun Yat-Sen University,8150,12.3,8,Taiwan,40 
National University of Sciences and Technology,11737,9.4,5,Pakistan,34 
École Nationale des Travaux Publics de l'État (ENTPE),809,15.3,13,France,42
National Institute of Applied Sciences of Lyon (INSA Lyon),6382,18.9,27,France,36 
Nanjing Tech University,38866,13.5,3,China,n/a
Explore,NA,NA,NA,Nanjing Normal University,NA
China,NA,NA,NA,Nanjing University of Information Science and Technology,NA
China,NA,NA,NA,Nanjing Forestry University,NA
China,NA,NA,NA,University of Namur,NA
Belgium,NA,NA,NA,Monterrey Institute of Technology,NA
Mexico,NA,NA,NA,Explore,NA
Montana State University,14094,16,3,United States,47
University of Missouri-St Louis,6365,15.8,5,United States,58
Mississippi State University,21810,15.2,3,United States,52
University of Minho,19922,19.6,16,Portugal,55
University of Memphis,16520,14.7,5,United States,60
Medical University of Gda?sk,6344,5.6,16,Poland,65
Masaryk University,32271,18.9,23,Czech Republic,62
Marquette University,10540,12,3,United States,57
Manipal Academy of Higher Education,23002,9,12,India,49
University of Malta,9687,10.7,13,Malta,60
Universiti Malaysia Pahang,8140,13.3,7,Malaysia,48
Makerere University,31233,21,3,Uganda,51
Mahidol University,28477,9,5,Thailand,64
Mae Fah Luang University,13802,21,4,Thailand,73
Lovely Professional University,33469,14.8,6,India,24 
Explore,NA,NA,NA,University of Lleida,NA
Spain,NA,NA,NA,University of Ljubljana,NA
Slovenia,NA,NA,NA,Lithuanian University of Health Sciences,NA
Lithuania,NA,NA,NA,Leeds Beckett University,NA
United Kingdom,NA,NA,NA,University of Latvia,NA
Latvia,NA,NA,NA,University of La Laguna,NA
Spain,NA,NA,NA,Lakehead University,NA
